mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.7951925992965698,0.0413370484011441,0.17237752676010132,0.0009172502119422378,800,5,2,sqrt,25,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 25}",-6.647633472224987,-2.7012251793940467,-3.3151827163429073,-1.4787934247044057,-3.535708698166587,1.9144170583602416,2
0.19114863872528076,0.0013978186519588388,0.04436671733856201,0.0012194844456960073,200,100,2,auto,25,"{'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 25}",-14.898777198854571,-5.630006611092458,-7.132394071732787,-2.774373618422354,-7.608887875025543,4.490490837656217,4
0.465800404548645,0.0011253385031087194,0.10788202285766602,0.0034528435537990237,500,5,1,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-5.689799127920032,-2.2914130303663205,-2.6979853507842835,-1.1157444535475265,-2.9487354906545407,1.6858406252592564,1
0.3942171335220337,0.004908255609429855,0.08512735366821289,0.0017578173774718418,400,15,2,auto,20,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20}",-12.500091075494664,-2.240898831865726,-2.7620563508450187,-0.7552618983508128,-4.564577039139055,4.640361680562207,3
0.7276315093040466,0.0021626716263822465,0.33142513036727905,0.2836162051109582,800,15,10,sqrt,25,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 25}",-15.326878906213869,-8.601780913874187,-4.2626667811606165,-4.878775185223012,-8.267525446617922,4.400815812133374,5
